"Doença"," Sintoma_1"," Sintoma_2"," Sintoma_3"," Sintoma_4"," Sintoma_5"," Sintoma_6"," Sintoma_7"," Sintoma_8"," Sintoma_9"," Sintoma_10"," Sintoma_11"," Sintoma_12"," Sintoma_13"," Sintoma_14"," Sintoma_15"," Sintoma_16"," Sintoma_17"
" Gastroenterite"," olhos fundos"," desidratação"," diarréia","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," desidratação"," diarréia","","","","","","","","","","","","","",""
" Gastroenterite"," vômito"," olhos fundos"," diarréia","","","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","",""
" Asma brônquica"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," história_familiar","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","",""
" Asma brônquica"," tosse"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Asma brônquica"," fadiga"," febre alta"," falta de ar"," história_familiar"," expectoração mucoide","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","",""
" Hipertensão"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","",""
" Hipertensão"," dor no peito"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," tontura"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Hipertensão"," dor de cabeça"," dor no peito"," perda_de_equilíbrio"," falta_de_concentração","","","","","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","",""
" Enxaqueca"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," fome_excessiva"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," torcicolo"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," depressão"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," irritabilidade"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," distúrbios visuais","","","","","","","","",""
" Enxaqueca"," acidez"," indigestão"," dor de cabeça"," visão_turva_e_distorcida"," fome_excessiva"," torcicolo"," depressão"," irritabilidade","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","",""
" Espondilose cervical"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","",""
" Espondilose cervical"," fraqueza_nos_membros"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Espondilose cervical"," dor nas costas"," dor no pescoço"," tontura"," perda_de_equilíbrio","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," dor de cabeça"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," fraqueza_de_um_lado_do_corpo"," sensorium_alterado","","","","","","","","","","","","","",""
" Paralisia (hemorragia cerebral)"," vômito"," dor de cabeça"," sensorium_alterado","","","","","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","",""
" Icterícia"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," perda de peso"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," febre alta"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," pele_amarelada"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," urina escura"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," dor abdominal","","","","","","","","","",""
" Icterícia"," coceira"," vômito"," fadiga"," perda de peso"," febre alta"," pele_amarelada"," urina escura","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","",""
" Malária"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," febre alta"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," suando"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," dor de cabeça"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," náusea"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," diarréia"," dor_muscular","","","","","","","","","",""
" Malária"," calafrios"," vômito"," febre alta"," suando"," dor de cabeça"," náusea"," dor_muscular","","","","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","",""
" Catapora"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," dor de cabeça"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," perda_de_apetite"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," febre leve"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," linfonodos inchados"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Catapora"," coceira"," erupção cutânea"," fadiga"," letargia"," febre alta"," dor de cabeça"," perda_de_apetite"," febre leve"," mal-estar"," manchas vermelhas no corpo","","","","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","",""
" Dengue"," calafrios"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," dor nas articulações"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," fadiga"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," febre alta"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
" Dengue"," erupção cutânea"," calafrios"," dor nas articulações"," vômito"," fadiga"," dor de cabeça"," náusea"," perda_de_apetite"," dor_atrás_dos_olhos"," dor nas costas"," mal-estar"," dor_muscular"," manchas vermelhas no corpo","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," dor de barriga","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)","","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","",""
"Tifóide"," calafrios"," vômito"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","",""
"Tifóide"," calafrios"," fadiga"," febre alta"," dor de cabeça"," náusea"," constipação"," dor abdominal"," diarréia"," aparência tóxica (tifos)"," dor de barriga","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","",""
" hepatite A"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," dor abdominal"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," diarréia"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" hepatite A"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," febre leve"," amarelamento_dos_olhos"," dor_muscular","","","","","","",""
" Hepatite B"," coceira"," fadiga"," letargia"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","",""
" Hepatite B"," coceira"," fadiga"," letargia"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","",""
" Hepatite B"," fadiga"," letargia"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite B"," coceira"," letargia"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite B"," coceira"," fadiga"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite B"," coceira"," fadiga"," letargia"," urina escura"," perda_de_apetite"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite B"," coceira"," fadiga"," letargia"," pele_amarelada"," perda_de_apetite"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite B"," coceira"," fadiga"," letargia"," pele_amarelada"," urina escura"," dor abdominal"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite B"," coceira"," fadiga"," letargia"," pele_amarelada"," urina escura"," perda_de_apetite"," urina_amarela"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite B"," coceira"," fadiga"," letargia"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," mal-estar"," recebendo_transfusão_de_sangue"," recebendo_injeções_não_estéreis","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," náusea"," perda_de_apetite"," história_familiar","","","","","","","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," náusea"," perda_de_apetite"," amarelamento_dos_olhos"," história_familiar","","","","","","","","","","",""
" Hepatite C"," pele_amarelada"," náusea"," perda_de_apetite"," amarelamento_dos_olhos"," história_familiar","","","","","","","","","","","",""
" Hepatite C"," fadiga"," náusea"," perda_de_apetite"," amarelamento_dos_olhos"," história_familiar","","","","","","","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," perda_de_apetite"," amarelamento_dos_olhos"," história_familiar","","","","","","","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," náusea"," amarelamento_dos_olhos"," história_familiar","","","","","","","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," náusea"," perda_de_apetite"," história_familiar","","","","","","","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," náusea"," perda_de_apetite"," amarelamento_dos_olhos","","","","","","","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," náusea"," perda_de_apetite"," amarelamento_dos_olhos"," história_familiar","","","","","","","","","","",""
" Hepatite C"," fadiga"," pele_amarelada"," náusea"," perda_de_apetite"," amarelamento_dos_olhos"," história_familiar","","","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," fadiga"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","",""
" Hepatite D"," vômito"," fadiga"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," fadiga"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," fadiga"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," fadiga"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," fadiga"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," fadiga"," pele_amarelada"," urina escura"," náusea"," dor abdominal"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," fadiga"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," amarelamento_dos_olhos","","","","","","","","",""
" Hepatite D"," dor nas articulações"," vômito"," fadiga"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal","","","","","","","","",""
" Hepatite E"," dor nas articulações"," vômito"," fadiga"," febre alta"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," coma"," sangramento estomacal","","","","",""
" Hepatite E"," dor nas articulações"," vômito"," fadiga"," febre alta"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","",""
" Hepatite E"," dor nas articulações"," vômito"," fadiga"," febre alta"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","",""
" Hepatite E"," vômito"," fadiga"," febre alta"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","","",""
" Hepatite E"," dor nas articulações"," fadiga"," febre alta"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","","",""
" Hepatite E"," dor nas articulações"," vômito"," febre alta"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","","",""
" Hepatite E"," dor nas articulações"," vômito"," fadiga"," pele_amarelada"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","","",""
" Hepatite E"," dor nas articulações"," vômito"," fadiga"," febre alta"," urina escura"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","","",""
" Hepatite E"," dor nas articulações"," vômito"," fadiga"," febre alta"," pele_amarelada"," náusea"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","","",""
" Hepatite E"," dor nas articulações"," vômito"," fadiga"," febre alta"," pele_amarelada"," urina escura"," perda_de_apetite"," dor abdominal"," amarelamento_dos_olhos"," insuficiência hepática aguda"," coma"," sangramento estomacal","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," dor abdominal"," inchaço_do_estômago"," distensão_do_abdome"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," dor abdominal"," inchaço_do_estômago"," distensão_do_abdome"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","",""
" Hepatite alcoólica"," pele_amarelada"," dor abdominal"," inchaço_do_estômago"," distensão_do_abdome"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," dor abdominal"," inchaço_do_estômago"," distensão_do_abdome"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," inchaço_do_estômago"," distensão_do_abdome"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," dor abdominal"," distensão_do_abdome"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," dor abdominal"," inchaço_do_estômago"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," dor abdominal"," inchaço_do_estômago"," distensão_do_abdome"," sobrecarga de fluido","","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," dor abdominal"," inchaço_do_estômago"," distensão_do_abdome"," história_do_consumo_de_álcool","","","","","","","","","","",""
" Hepatite alcoólica"," vômito"," pele_amarelada"," dor abdominal"," inchaço_do_estômago"," distensão_do_abdome"," história_do_consumo_de_álcool"," sobrecarga de fluido","","","","","","","","","",""
" Tuberculose"," calafrios"," vômito"," fadiga"," perda de peso"," tosse"," febre alta"," falta de ar"," suando"," perda_de_apetite"," febre leve"," amarelamento_dos_olhos"," linfonodos inchados"," mal-estar"," catarro"," dor no peito"," sangue_no_escarro",""
" Tuberculose"," calafrios"," vômito"," fadiga"," perda de peso"," tosse"," febre alta"," falta de ar"," suando"," perda_de_apetite"," febre leve"," amarelamento_dos_olhos"," linfonodos inchados"," mal-estar"," catarro"," dor no peito"," sangue_no_escarro",""
" Tuberculose"," vômito"," fadiga"," perda de peso"," tosse"," febre alta"," falta de ar"," suando"," perda_de_apetite"," febre leve"," amarelamento_dos_olhos"," linfonodos inchados"," mal-estar"," catarro"," dor no peito"," sangue_no_escarro","",""
